first_name,middle_name,last_name,gender,race,address_number,street,zip,county,state,file_number,offense_date,disposition,disposition_date,county_disposition,arrest_agency_name,arrest_agency_department,arrest_agency_address_number,arrest_agency_street,dob,offense_description,arrest_date,arrest_agency_zip
Karyn,Jacynth,Poyzer,F,Seminole,859,Quincy,79182,Durham,NC,5452736131,2/8/2019,Guilty,7/4/2018,Durham,Durham Police Department,Durham Police,40707,Sauthoff,4/11/2019,1/0,1/17/2019,20904
Geoffrey,Maitilde,Dodd,F,Native Hawaiian,3291,Debra,20062,Durham,NC,4471733087,1/6/2019,Guilty,10/4/2018,Durham,Durham Police Department,Durham Police,6457,Columbus,11/21/2018,田中さんにあげて下さい,12/10/2018,27635
Esme,Enrika,Vasichev,F,Melanesian,259,Swallow,60669,Durham,NC,1656596342,7/19/2018,Guilty,8/28/2018,Durham,Durham Police Department,Durham Police,1497,Moulton,7/4/2018,<script>alert('hi')</script>,3/23/2019,27615
Karlen,Britte,Gallymore,M,Cree,39200,5th,94286,Durham,NC,7716760459,2/12/2019,Guilty,6/11/2018,Durham,Durham Police Department,Durham Police,9,Jay,12/29/2018,1/2,6/10/2018,32520
Matthus,Jorry,Borrill,M,Bangladeshi,86,Elgar,29424,Durham,NC,6324160327,6/4/2018,Guilty,5/1/2019,Durham,Durham Police Department,Durham Police,494,Old Gate,12/29/2018,../../../../../../../../../../../etc/hosts,5/31/2018,68517
Annissa,Melantha,Valentinetti,M,Argentinian,379,Roth,77055,Durham,NC,6572386287,1/19/2019,Guilty,7/31/2018,Durham,Durham Police Department,Durham Police,270,Blaine,5/12/2019,!@#$%^&*(),2/15/2019,94975
Annice,Lila,Skellern,F,Filipino,51,Jackson,50393,Durham,NC,7495567856,2/24/2019,Guilty,9/22/2018,Durham,Durham Police Department,Durham Police,055,Sloan,2/22/2019,"""'""'""''''""",12/18/2018,02305
Trstram,Aurelea,Dansie,M,Malaysian,4540,Vera,74193,Durham,NC,1084303043,6/7/2018,Guilty,12/15/2018,Durham,Durham Police Department,Durham Police,054,Mcguire,8/20/2018,"__ﾛ(,_,*)",2/23/2019,92822
Paige,Shanda,Johnston,F,Costa Rican,9,Shelley,93750,Durham,NC,1727459075,10/12/2018,Guilty,11/9/2018,Durham,Durham Police Department,Durham Police,11245,West,9/18/2018, ,6/6/2018,85030
Lemmie,Agnola,Aguirre,M,Mexican,316,Everett,35290,Durham,NC,7164134693,5/3/2019,Guilty,7/30/2018,Durham,Durham Police Department,Durham Police,35,Fairview,11/29/2018,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },1/4/2019,14683
Moselle,Tierney,Cristofanini,F,Micronesian,430,Bayside,32225,Durham,NC,3726037950,4/1/2019,Guilty,5/21/2018,Durham,Durham Police Department,Durham Police,852,Esch,8/19/2018,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,4/12/2019,92115
Sari,Kevina,de Werk,M,Creek,192,Summer Ridge,63104,Durham,NC,0947902074,5/15/2018,Guilty,3/17/2019,Durham,Durham Police Department,Durham Police,5572,Emmet,1/11/2019,"<>?:""{}|_+",7/14/2018,90810
Valry,Starr,Wallworke,M,Apache,963,Ruskin,90398,Durham,NC,5340213579,11/19/2018,Guilty,6/13/2018,Durham,Durham Police Department,Durham Police,39903,Eagan,6/10/2018,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",3/7/2019,29403
Jeanie,Georgia,Cicchelli,F,Creek,1428,Starling,76711,Durham,NC,6858672273,5/23/2018,Guilty,12/28/2018,Durham,Durham Police Department,Durham Police,8,Dawn,3/30/2019,⁦test⁧,10/7/2018,36641
Field,Kalina,Whicher,M,Chamorro,08218,Grim,91199,Durham,NC,2503756352,2/17/2019,Guilty,12/26/2018,Durham,Durham Police Department,Durham Police,80,Amoth,8/10/2018,() { 0; }; touch /tmp/blns.shellshock1.fail;,7/8/2018,55115
Erich,Julietta,Revill,M,Osage,00118,Kinsman,92121,Durham,NC,6111907514,8/20/2018,Guilty,7/27/2018,Durham,Durham Police Department,Durham Police,19,Kipling,12/8/2018,␢,5/23/2018,11215
Ransom,Ninnetta,Krates,M,Lumbee,819,Kim,85053,Durham,NC,9562251438,7/26/2018,Guilty,2/27/2019,Durham,Durham Police Department,Durham Police,4,Oneill,7/31/2018,🐵 🙈 🙉 🙊,12/20/2018,33261
Owen,Benoite,Djekic,M,Fijian,989,Farmco,80044,Durham,NC,1356547664,3/24/2019,Guilty,12/20/2018,Durham,Durham Police Department,Durham Police,46,Packers,9/12/2018,הָיְתָהtestالصفحات التّحول,3/20/2019,98664
Gordon,Lacee,Pulver,M,Osage,0462,4th,32277,Durham,NC,6453870398,5/28/2018,Guilty,5/20/2018,Durham,Durham Police Department,Durham Police,6275,Eastlawn,9/26/2018,1,3/18/2019,66606
Perri,Kitty,Schultes,M,Delaware,66,Fair Oaks,20268,Durham,NC,3201599077,1/25/2019,Guilty,8/5/2018,Durham,Durham Police Department,Durham Police,46,Beilfuss,3/18/2019,사회과학원 어학연구소,11/7/2018,63150
Mikael,Olympie,Whisker,M,Korean,38,Montana,59771,Durham,NC,3408323577,11/7/2018,Guilty,1/7/2019,Durham,Durham Police Department,Durham Police,0129,Mariners Cove,10/4/2018,😍,11/23/2018,36114
Mada,Shawnee,Swine,M,Eskimo,48004,Blue Bill Park,95405,Durham,NC,5587143503,2/25/2019,Guilty,12/23/2018,Durham,Durham Police Department,Durham Police,96,Everett,4/24/2019,1,4/4/2019,34642
Phelia,Gianna,Royal,F,Yaqui,36749,Shelley,90840,Durham,NC,6269235758,6/4/2018,Guilty,7/2/2018,Durham,Durham Police Department,Durham Police,233,Hansons,3/1/2019,'',2/6/2019,28314
Rhody,Sharron,Guage,M,Polynesian,20,Jackson,34114,Durham,NC,1291684352,8/2/2018,Guilty,8/12/2018,Durham,Durham Police Department,Durham Police,9,Leroy,8/16/2018,0/0,7/17/2018,66205
Louisa,Mildred,Grain,M,Alaska Native,08,Sutteridge,93386,Durham,NC,4049061155,4/29/2019,Guilty,7/29/2018,Durham,Durham Police Department,Durham Police,811,Westridge,7/4/2018,｀ｨ(´∀｀∩,2/3/2019,53277
Cayla,Casi,McConnel,F,Bolivian,51995,Doe Crossing,61709,Durham,NC,1252926154,10/30/2018,Guilty,2/18/2019,Durham,Durham Police Department,Durham Police,578,Gateway,5/16/2018,‪‪test‪,4/16/2019,55448
Maible,Silva,Lyokhin,M,Pakistani,910,Meadow Ridge,63169,Durham,NC,4606584815,6/27/2018,Guilty,3/7/2019,Durham,Durham Police Department,Durham Police,9301,Di Loreto,12/30/2018,⁦test⁧,10/31/2018,60351
Glad,Cate,Lipsett,M,Native Hawaiian and Other Pacific Islander (NHPI),6,Messerschmidt,45249,Durham,NC,2145508465,12/3/2018,Guilty,5/14/2018,Durham,Durham Police Department,Durham Police,7,Scofield,10/3/2018,../../../../../../../../../../../etc/passwd%00,4/16/2019,48670
Marin,Lorne,Blazy,M,South American,67858,Bellgrove,23612,Durham,NC,1045275239,12/28/2018,Guilty,9/4/2018,Durham,Durham Police Department,Durham Police,2,Morningstar,8/6/2018,¸˛Ç◊ı˜Â¯˘¿,7/18/2018,29319
Con,Lauryn,Hutchens,M,Asian,0847,Brown,60663,Durham,NC,4777417352,6/10/2018,Guilty,8/29/2018,Durham,Durham Police Department,Durham Police,526,Vahlen,4/23/2019,사회과학원 어학연구소,4/16/2019,60641
Charisse,Lindsey,Riccelli,F,Central American,12324,Anzinger,68524,Durham,NC,4849573746,10/12/2018,Guilty,9/9/2018,Durham,Durham Police Department,Durham Police,37,Corry,11/7/2018,-1E02,7/2/2018,14639
Porty,Caitrin,McIntee,F,Honduran,086,Kenwood,84409,Durham,NC,9853771500,11/30/2018,Guilty,3/24/2019,Durham,Durham Police Department,Durham Police,7,Artisan,6/9/2018,0/0,9/28/2018,77255
Yalonda,Isabelita,Capineer,F,Cheyenne,3104,Westridge,92725,Durham,NC,7598120714,12/6/2018,Guilty,4/3/2019,Durham,Durham Police Department,Durham Police,5818,Center,2/22/2019,1E2,11/29/2018,99709
Ellynn,Darcie,Dudman,F,Aleut,0043,Johnson,16522,Durham,NC,0417153163,1/2/2019,Guilty,5/17/2018,Durham,Durham Police Department,Durham Police,6172,Pennsylvania,3/27/2019,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,9/19/2018,76796
Liam,Luz,Rosenfelt,M,Salvadoran,6343,Stuart,94913,Durham,NC,4523135592,1/20/2019,Guilty,4/29/2019,Durham,Durham Police Department,Durham Police,10,Clemons,2/22/2019,1.00,1/3/2019,23242
Simeon,Walliw,Wardley,M,Honduran,4939,Mallard,33416,Durham,NC,3533961966,3/7/2019,Guilty,7/18/2018,Durham,Durham Police Department,Durham Police,6693,Gerald,1/21/2019,הָיְתָהtestالصفحات التّحول,8/20/2018,63104
Freemon,Sophey,Ewing,M,Hmong,4,Dryden,29610,Durham,NC,3729805304,2/2/2019,Guilty,3/14/2019,Durham,Durham Police Department,Durham Police,0,Mendota,8/8/2018,NIL,12/11/2018,78245
Putnem,Thomasa,Champney,M,Native Hawaiian and Other Pacific Islander (NHPI),20359,Mockingbird,36622,Durham,NC,2978060263,3/12/2019,Guilty,10/25/2018,Durham,Durham Police Department,Durham Police,3,Cody,11/20/2018,"'""'",8/27/2018,77299
Marchall,Pavla,Williscroft,F,Melanesian,09,Longview,27415,Durham,NC,8435818306,4/4/2019,Guilty,12/4/2018,Durham,Durham Police Department,Durham Police,60,Pennsylvania,8/17/2018,<script>alert('hi')</script>,3/6/2019,46015
Jamie,Gabriellia,Coats,F,Malaysian,95748,Trailsway,20546,Durham,NC,1521884846,9/28/2018,Guilty,9/11/2018,Durham,Durham Police Department,Durham Police,54,Elgar,7/24/2018,-$1.00,2/2/2019,92191
Leigh,Feliza,Rickson,F,Nicaraguan,827,Mockingbird,15205,Durham,NC,4448843920,8/23/2018,Guilty,11/7/2018,Durham,Durham Police Department,Durham Police,66,8th,10/19/2018,‪‪test‪,1/21/2019,20231
Whitney,Mindy,Coldrick,F,Paiute,44,Sunfield,45203,Durham,NC,0575972416,10/6/2018,Guilty,9/26/2018,Durham,Durham Police Department,Durham Police,1,Main,9/7/2018,-1E02,9/5/2018,39705
Drucy,Damaris,Hatry,F,Delaware,075,Brentwood,88514,Durham,NC,8005819722,10/12/2018,Guilty,11/11/2018,Durham,Durham Police Department,Durham Police,55023,Bunker Hill,9/25/2018,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,7/10/2018,11470
Dorolice,Lillis,Kobera,F,Tohono O'Odham,000,Killdeer,53285,Durham,NC,5603009209,11/21/2018,Guilty,4/28/2019,Durham,Durham Police Department,Durham Police,563,Ronald Regan,7/18/2018,　,8/1/2018,33164
Mischa,Dulsea,Klimentov,F,Panamanian,94,High Crossing,92056,Durham,NC,2439660922,6/28/2018,Guilty,3/26/2019,Durham,Durham Police Department,Durham Police,72,Lillian,12/8/2018,␣,8/29/2018,85748
Mallory,Patty,Aukland,F,Cuban,37987,Schurz,15286,Durham,NC,4569380565,2/23/2019,Guilty,6/2/2018,Durham,Durham Police Department,Durham Police,45,Bartillon,3/17/2019,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,1/9/2019,59623
Damita,Merci,Dulanty,F,Cheyenne,603,Colorado,93773,Durham,NC,3045590578,11/13/2018,Guilty,4/15/2019,Durham,Durham Police Department,Durham Police,0,Thompson,9/12/2018,😍,8/3/2018,32405
Guenevere,Teresina,Morales,M,Cree,503,5th,37210,Durham,NC,6118848645,4/15/2019,Guilty,11/16/2018,Durham,Durham Police Department,Durham Police,416,Hudson,11/10/2018,/dev/null; touch /tmp/blns.fail ; echo,3/25/2019,20220
Domingo,Ceciley,Cadagan,F,Korean,48070,Banding,79452,Durham,NC,3886775224,6/9/2018,Guilty,6/15/2018,Durham,Durham Police Department,Durham Police,97,Heffernan,8/27/2018,␣,9/16/2018,77020
Caren,Doralyn,Grimoldby,F,Ottawa,13,East,28220,Durham,NC,8709708227,6/13/2018,Guilty,4/19/2019,Durham,Durham Police Department,Durham Police,6824,Arrowood,5/24/2018,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,2/22/2019,02142
Ingelbert,Rivy,Jeune,F,Hmong,3,Ronald Regan,94159,Durham,NC,1239806558,2/1/2019,Guilty,3/20/2019,Durham,Durham Police Department,Durham Police,90952,Marquette,11/28/2018,<img src=x onerror=alert('hi') />,5/5/2019,90050
Parke,Cicely,Agett,M,Ecuadorian,93,Hauk,87140,Durham,NC,6964692762,1/2/2019,Guilty,12/28/2018,Durham,Durham Police Department,Durham Police,1109,Luster,7/20/2018,1/0,9/7/2018,79710
Annette,Charmian,Linklet,F,Pima,25582,Green Ridge,97075,Durham,NC,7308777235,1/4/2019,Guilty,3/31/2019,Durham,Durham Police Department,Durham Police,4,Sullivan,2/27/2019,הָיְתָהtestالصفحات التّحول,11/30/2018,60646
Rozanna,Charo,Satterfitt,F,Fijian,002,Kedzie,20244,Durham,NC,2952818762,1/24/2019,Guilty,7/14/2018,Durham,Durham Police Department,Durham Police,98559,Colorado,4/25/2019, test ,6/25/2018,33320
Venus,Clerissa,Grieve,F,Cree,1246,Mallard,40510,Durham,NC,0105410195,10/15/2018,Guilty,8/15/2018,Durham,Durham Police Department,Durham Police,9,Summit,6/23/2018,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,9/3/2018,98464
Hadlee,Moyna,Stanistreet,F,Sri Lankan,27120,Dahle,85010,Durham,NC,9346981776,4/24/2019,Guilty,2/27/2019,Durham,Durham Police Department,Durham Police,82,Vernon,6/12/2018,הָיְתָהtestالصفحات التّحول,10/3/2018,29625
Ruy,Nissa,McAnulty,F,Laotian,7,Rusk,14905,Durham,NC,0957618166,7/25/2018,Guilty,10/3/2018,Durham,Durham Police Department,Durham Police,4,Hallows,12/15/2018,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,2/26/2019,10105
Pierre,Agneta,Shireff,F,Cree,35865,Colorado,20540,Durham,NC,9432307573,5/5/2019,Guilty,2/26/2019,Durham,Durham Police Department,Durham Police,7047,Dayton,3/30/2019,社會科學院語學研究所,9/5/2018,60567
Margaretta,Meris,Giraux,M,Crow,09446,Tennessee,33075,Durham,NC,1629683485,11/30/2018,Guilty,8/1/2018,Durham,Durham Police Department,Durham Police,397,Laurel,6/27/2018,　,1/10/2019,06912
Modestine,Nana,Basnett,M,Asian,9738,Mifflin,45403,Durham,NC,5135509674,7/5/2018,Guilty,5/21/2018,Durham,Durham Police Department,Durham Police,0212,Bartelt,9/9/2018,Ω≈ç√∫˜µ≤≥÷,3/24/2019,10184
Steffen,Orella,Hulmes,M,Chickasaw,62474,Hayes,30033,Durham,NC,7668323554,9/4/2018,Guilty,6/15/2018,Durham,Durham Police Department,Durham Police,65,Hudson,9/27/2018,(｡◕ ∀ ◕｡),10/3/2018,89120
Alair,Dorris,Cogley,M,Micronesian,38,Loftsgordon,40618,Durham,NC,4338108290,7/9/2018,Guilty,12/16/2018,Durham,Durham Police Department,Durham Police,887,Sloan,4/30/2019,‫test‫,1/22/2019,75241
Camilla,Johnette,Hendriks,M,Bolivian,14059,Anzinger,32304,Durham,NC,8638041012,11/28/2018,Guilty,12/3/2018,Durham,Durham Police Department,Durham Police,57412,Gateway,1/16/2019,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",12/7/2018,10090
Tamra,Chanda,Cole,F,Guamanian,28791,Oxford,78710,Durham,NC,0021902275,9/14/2018,Guilty,7/6/2018,Durham,Durham Police Department,Durham Police,914,Parkside,9/9/2018,・(￣∀￣)・:*:,8/1/2018,93907
Christalle,Star,Churchward,M,Salvadoran,0,Homewood,66286,Durham,NC,2801929557,12/4/2018,Guilty,7/5/2018,Durham,Durham Police Department,Durham Police,1,Sunnyside,11/12/2018, ,11/21/2018,76147
Jeremy,Isabelle,Giovannacci,M,Chinese,2,Burning Wood,36109,Durham,NC,8148315663,3/28/2019,Guilty,7/14/2018,Durham,Durham Police Department,Durham Police,4,Leroy,7/23/2018,!@#$%^&*(),4/9/2019,66617
Lucina,Emlynn,Siggin,F,Vietnamese,74,Miller,55598,Durham,NC,4370943116,9/4/2018,Guilty,5/29/2018,Durham,Durham Police Department,Durham Police,038,Tony,4/19/2019,../../../../../../../../../../../etc/hosts,10/12/2018,58207
Tillie,Melisenda,Hawtry,F,South American,45,Tennyson,60609,Durham,NC,8002890647,5/17/2018,Guilty,7/26/2018,Durham,Durham Police Department,Durham Police,0,Forest Dale,6/16/2018,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,10/31/2018,34135
Dyanne,Bette-ann,Leary,M,Ecuadorian,3126,Steensland,53220,Durham,NC,5414209588,1/6/2019,Guilty,5/24/2018,Durham,Durham Police Department,Durham Police,08,Glendale,10/28/2018,"__ﾛ(,_,*)",4/28/2019,60193
Steward,Winnah,Bartolomivis,F,Iroquois,20,Del Mar,33175,Durham,NC,1020252804,5/23/2018,Guilty,12/19/2018,Durham,Durham Police Department,Durham Police,7135,Kenwood,4/22/2019,1;DROP TABLE users,10/24/2018,10014
Candida,Merna,Javes,M,Shoshone,6,Forest,79934,Durham,NC,1433538709,11/30/2018,Guilty,11/10/2018,Durham,Durham Police Department,Durham Police,1020,Monument,2/24/2019,test⁠test‫,9/30/2018,08608
Kele,Beckie,McGilvary,M,Taiwanese,6,Toban,48092,Durham,NC,3779899396,4/11/2019,Guilty,9/7/2018,Durham,Durham Police Department,Durham Police,95868,Dapin,12/27/2018,$1.00,8/25/2018,37919
Sheridan,Gray,Patridge,F,Chippewa,46762,Larry,48232,Durham,NC,0726218081,5/3/2019,Guilty,3/4/2019,Durham,Durham Police Department,Durham Police,4,Northfield,9/8/2018,⁦test⁧,6/5/2018,20238
Sergei,Kanya,Rape,M,Costa Rican,80,Nancy,20508,Durham,NC,6362224639,3/31/2019,Guilty,10/16/2018,Durham,Durham Police Department,Durham Police,29,Michigan,5/7/2019,null,10/20/2018,65898
Benjie,Chrystal,Ryding,M,Yuman,453,Daystar,39236,Durham,NC,9838411671,4/15/2019,Guilty,7/8/2018,Durham,Durham Police Department,Durham Police,0160,Dottie,12/13/2018,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,5/31/2018,85246
Susanetta,Cherin,Skaife,F,Comanche,83,Nobel,21684,Durham,NC,9216442522,11/21/2018,Guilty,12/22/2018,Durham,Durham Police Department,Durham Police,38,Grim,12/22/2018,パーティーへ行かないか,12/11/2018,43666
Eberhard,Madelene,Bisiker,M,Paraguayan,23,Dryden,15250,Durham,NC,4554967778,12/6/2018,Guilty,4/20/2019,Durham,Durham Police Department,Durham Police,2912,Mariners Cove,12/31/2018,../../../../../../../../../../../etc/hosts,10/5/2018,75210
Benedicta,Madalyn,Pearson,M,Guamanian,99,Bay,29203,Durham,NC,8069631198,6/7/2018,Guilty,1/30/2019,Durham,Durham Police Department,Durham Police,617,Aberg,12/2/2018,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,12/15/2018,33954
Merla,Desdemona,Klimmek,M,Micronesian,5601,Ruskin,32605,Durham,NC,3370403579,12/4/2018,Guilty,4/26/2019,Durham,Durham Police Department,Durham Police,02,Moulton,3/14/2019,$1.00,5/15/2018,33416
Matthias,Ingrid,Grier,F,Thai,26044,Katie,11436,Durham,NC,6825237292,6/15/2018,Guilty,2/11/2019,Durham,Durham Police Department,Durham Police,6386,Mcbride,2/25/2019,$1.00,5/27/2018,12305
Zsa zsa,Robinette,Kelk,F,Sri Lankan,57420,Gerald,10115,Durham,NC,1018805192,6/5/2018,Guilty,9/20/2018,Durham,Durham Police Department,Durham Police,01,Thackeray,2/1/2019,() { 0; }; touch /tmp/blns.shellshock1.fail;,9/23/2018,90405
Charmain,Anselma,Peebles,F,Colville,06,Elka,30356,Durham,NC,2659703639,6/23/2018,Guilty,1/20/2019,Durham,Durham Police Department,Durham Police,8,Tennessee,12/17/2018,1/2,3/29/2019,75185
Ferne,Diann,Vasiltsov,F,Korean,179,Corry,62794,Durham,NC,9160799900,2/18/2019,Guilty,12/3/2018,Durham,Durham Police Department,Durham Police,872,Linden,11/6/2018,"'""'",12/26/2018,55436
Tonya,Gloria,Edward,M,Pakistani,5,Express,95973,Durham,NC,2541303424,1/28/2019,Guilty,7/29/2018,Durham,Durham Police Department,Durham Police,8232,Fuller,8/5/2018,"""''''""'""",3/7/2019,79116
Kaela,Aloisia,Duckers,F,Seminole,0345,Burning Wood,83727,Durham,NC,9891801667,9/26/2018,Guilty,12/12/2018,Durham,Durham Police Department,Durham Police,2,Brentwood,9/25/2018,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,2/9/2019,67220
Matthus,Cally,Vickress,M,Colombian,02,Trailsway,21216,Durham,NC,6381832940,9/25/2018,Guilty,1/28/2019,Durham,Durham Police Department,Durham Police,67892,Pepper Wood,10/12/2018,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,4/29/2019,19104
